"filename", "language", "JavaScript", "Properties", "JSON", "HTML", "PostCSS", "Markdown", "comment", "blank", "total"
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/.env", "Properties", 0, 6, 0, 0, 0, 0, 4, 4, 14
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/LICENSE.md", "Markdown", 0, 0, 0, 0, 0, 21, 0, 18, 39
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/package-lock.json", "JSON", 0, 0, 2677, 0, 0, 0, 0, 1, 2678
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/package.json", "JSON", 0, 0, 35, 0, 0, 0, 0, 1, 36
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/audit-logs.css", "PostCSS", 0, 0, 0, 0, 296, 0, 14, 61, 371
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/base.css", "PostCSS", 0, 0, 0, 0, 140, 0, 2, 5, 147
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/buttons.css", "PostCSS", 0, 0, 0, 0, 192, 0, 6, 34, 232
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/connection.css", "PostCSS", 0, 0, 0, 0, 124, 0, 3, 21, 148
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/forms.css", "PostCSS", 0, 0, 0, 0, 149, 0, 3, 26, 178
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/header.css", "PostCSS", 0, 0, 0, 0, 309, 0, 3, 50, 362
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/login.css", "PostCSS", 0, 0, 0, 0, 333, 0, 5, 52, 390
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/logsview.css", "PostCSS", 0, 0, 0, 0, 114, 0, 0, 23, 137
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/main.css", "PostCSS", 0, 0, 0, 0, 724, 0, 19, 125, 868
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/modals.css", "PostCSS", 0, 0, 0, 0, 1178, 0, 30, 182, 1390
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/notifications.css", "PostCSS", 0, 0, 0, 0, 149, 0, 1, 26, 176
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/css/tables.css", "PostCSS", 0, 0, 0, 0, 247, 0, 9, 40, 296
"/Users/admin/Desktop/CODE/SignOuts/JS/SignOutsJSFinal/public/index.html", "HTML", 0, 0, 0, 714, 0, 0, 8, 68, 790
